index,type,tag,title,checked,heading_path,heading_path_slug,paragraph_context,range_preview
1,checkbox,epd_ecr_gepc_chk,chk,False,[],[],☐EPD	☐ECR	☐GEPC,☐
2,checkbox,epd_ecr_gepc_chk_2,chk,False,[],[],☐EPD	☐ECR	☐GEPC,☐
3,checkbox,epd_ecr_gepc_chk_3,chk,False,[],[],☐EPD	☐ECR	☐GEPC,☐
4,checkbox,insert_other_chk,chk,False,[],[],☐  <Insert Other>,☐
5,dropdown,level_choose_a_project_level_dd,Dropdown,,[],[],Level: <Choose a Project Level.>,<Choose a Project Level.>
6,combobox,capa_associated_select_one_combo,Combobox,,[],[],CAPA Associated: <Select one.>,<Select one.>
7,combobox,design_owner_choose_an_item_other_combo,Combobox,,[],[],Design Owner:	<Choose an item.>	Other (if applicable): <Fill in if “Other” is chosen.> 	Name of OEM (if applicable): <Name of OEM>,<Choose an item.>
8,checkbox,manufacturing_site_avl_mar_lsb_oha_chk,chk,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
9,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_2,chk,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
10,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_3,chk,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
11,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_4,chk,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
12,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_5,chk,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
13,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_6,chk,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
14,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_7,chk,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
15,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_8,chk,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
