index,type,tag,title,checked,heading_path,heading_path_slug,paragraph_context,range_preview
1,checkbox,epd_ecr_gepc_chk,chk - 001,False,[],[],☐EPD	☐ECR	☐GEPC,☐
2,checkbox,epd_ecr_gepc_chk_2,chk - 002,False,[],[],☐EPD	☐ECR	☐GEPC,☐
3,checkbox,epd_ecr_gepc_chk_3,chk - 003,False,[],[],☐EPD	☐ECR	☐GEPC,☐
4,checkbox,insert_other_chk,chk - 004,False,[],[],☐  <Insert Other>,☐
5,dropdown,level_choose_a_project_level_dd,dropdown - 001,,[],[],Level: <Choose a Project Level.>,<Choose a Project Level.>
6,combobox,capa_associated_select_one_combo,combobox - 001,,[],[],CAPA Associated: <Select one.>,<Select one.>
7,combobox,design_owner_choose_an_item_other_combo,combobox - 002,,[],[],Design Owner:	<Choose an item.>	Other (if applicable): <Fill in if “Other” is chosen.> 	Name of OEM (if applicable): <Name of OEM>,<Choose an item.>
8,checkbox,manufacturing_site_avl_mar_lsb_oha_chk,chk - 005,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
9,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_2,chk - 006,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
10,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_3,chk - 007,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
11,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_4,chk - 008,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
12,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_5,chk - 009,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
13,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_6,chk - 010,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
14,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_7,chk - 011,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
15,checkbox,manufacturing_site_avl_mar_lsb_oha_chk_8,chk - 012,False,[],[],Manufacturing Site:	☐AVL ☐ MAR ☐ LSB ☐ OHA ☐ SNG ☐ Other	☐OEM ☐ CM (External),☐
16,combobox,design_is_copy_exact_choose_an_combo,combobox - 003,,[],[],Design is Copy Exact: <Choose an item.>,<Choose an item.>
17,checkbox,device_type_table_n_america_general_purpose,chk - 013,False,[],[],☐,☐
18,checkbox,device_type_table_emea_general_purpose,chk - 014,False,[],[],☐,☐
19,checkbox,device_type_table_latam_general_purpose,chk - 015,False,[],[],☐,☐
20,checkbox,device_type_table_apac_general_purpose,chk - 016,False,[],[],☐,☐
21,checkbox,device_type_table_n_america_medical,chk - 017,False,[],[],☐,☐
22,checkbox,device_type_table_emea_medical,chk - 018,False,[],[],☐,☐
23,checkbox,device_type_table_latam_medical,chk - 019,False,[],[],☐,☐
24,checkbox,device_type_table_apac_medical,chk - 020,False,[],[],☐,☐
25,checkbox,device_type_table_n_america_in_vitro_diagnostics,chk - 021,False,[],[],☐,☐
26,checkbox,device_type_table_emea_in_vitro_diagnostics,chk - 022,False,[],[],☐,☐
27,checkbox,device_type_table_latam_in_vitro_diagnostics,chk - 023,False,[],[],☐,☐
28,checkbox,device_type_table_apac_in_vitro_diagnostics,chk - 024,False,[],[],☐,☐
29,checkbox,device_type_table_n_america_general_purpose_cell_gene_therapy,chk - 025,False,[],[],☐,☐
